04/02/2026 13:05 - Notas fiscais emitidas entre 04-04-2020 e 04-02-2026

Data da Emissão;Número;Série;Valor;Cliente;CNPJ/CPF;Pedido;Vendedor
04/02/2026 11:03:05;11324;1;693;Engineering Distribuidora LTDA;45.350.328/0001-27;0;Mariana Fernandes
04/02/2026 11:00:51;11323;1;326;Tech Química S.A.;14.130.195/0001-37;0;Mariana Fernandes
04/02/2026 10:56:44;11322;1;140;Nexus Eletrônicos Grupo;13.674.303/0001-93;0;Amanda Carvalho
04/02/2026 10:53:36;11321;1;786,5;Nexus Componentes Grupo;45.928.990/0001-10;0;Mariana Fernandes
04/02/2026 10:40:53;11320;1;209;Solar Obras ME;99.532.448/0001-45;0;Mariana Fernandes
04/02/2026 09:52:44;11319;1;1277,5;Amazonas Tecnologia EIRELI;23.194.489/0001-22;0;Mariana Fernandes
04/02/2026 09:19:35;11318;1;28,65;Green Investimentos EIRELI;87.370.926/0001-15;0;Amanda Carvalho
03/02/2026 17:01:08;11317;1;678,1;Health Componentes Grupo;25.487.180/0001-80;0;Mariana Fernandes
03/02/2026 16:45:59;11316;1;191;Elite Projetos Grupo;56.691.296/0001-18;0;Mariana Fernandes
03/02/2026 16:14:56;11314;1;265,5;Health Componentes Grupo;25.487.180/0001-80;0;Amanda Carvalho
03/02/2026 16:12:28;11313;1;109,5;Health Componentes Grupo;25.487.180/0001-80;0;Amanda Carvalho
03/02/2026 16:09:14;11312;1;392,8;Delta Bebidas ME;47.181.975/0001-39;0;Amanda Carvalho
02/02/2026 11:13:15;11311;1;407,5;Inova Consultoria EIRELI;68.750.954/0001-56;0;Mariana Fernandes
02/02/2026 10:26:24;11310;1;345,5;Prime Data EIRELI;36.786.373/0001-99;0;Mariana Fernandes
28/01/2026 16:30:31;11308;1;833,7;Creative Alimentos LTDA;87.750.275/0001-78;0;Mariana Fernandes
28/01/2026 16:25:06;11307;1;1849;Health Sistemas ME;69.488.376/0001-91;0;Mariana Fernandes
27/01/2026 12:45:47;11305;1;3000;Marketing Metalúrgica ME;97.432.963/0001-17;0;Mariana Fernandes
27/01/2026 12:42:51;11304;1;189,5;Solar Obras ME;99.532.448/0001-45;0;Mariana Fernandes
27/01/2026 12:37:58;11303;1;57;Nexus Projetos LTDA;50.510.374/0001-18;0;Amanda Carvalho
26/01/2026 12:42:26;11302;1;214,5;Orion Química EIRELI;37.771.611/0001-60;0;Amanda Carvalho
26/01/2026 10:45:11;11300;1;289,9;Software Componentes ME;43.242.352/0001-81;0;Mariana Fernandes
26/01/2026 09:29:31;11299;1;376,95;Service Redes Grupo;64.697.508/0001-56;0;Amanda Carvalho
